[Epoch 139] (Overall) rmse: 2.1450 | mae: 1.5424 | r2: 0.3824 | pearson_r: 0.7160 | spearman_r: 0.7149 | ce: -0.0000 
[Epoch 140] (Overall) rmse: 2.1583 | mae: 1.5555 | r2: 0.3747 | pearson_r: 0.7161 | spearman_r: 0.7153 | ce: -0.0000 
[Epoch 141] (Overall) rmse: 2.1570 | mae: 1.5551 | r2: 0.3754 | pearson_r: 0.7144 | spearman_r: 0.7145 | ce: -0.0000 
[Epoch 142] (Overall) rmse: 2.1617 | mae: 1.5617 | r2: 0.3727 | pearson_r: 0.7140 | spearman_r: 0.7145 | ce: -0.0000 
[Epoch 143] (Overall) rmse: 2.1405 | mae: 1.5471 | r2: 0.3850 | pearson_r: 0.7166 | spearman_r: 0.7156 | ce: -0.0000 
[Epoch 144] (Overall) rmse: 2.1591 | mae: 1.5551 | r2: 0.3742 | pearson_r: 0.7173 | spearman_r: 0.7166 | ce: -0.0000 
[Epoch 145] (Overall) rmse: 2.1351 | mae: 1.5449 | r2: 0.3881 | pearson_r: 0.7158 | spearman_r: 0.7155 | ce: -0.0000 
[Epoch 146] (Overall) rmse: 2.1598 | mae: 1.5623 | r2: 0.3738 | pearson_r: 0.7163 | spearman_r: 0.7160 | ce: -0.0000 
[Epoch 147] (Overall) rmse: 2.1274 | mae: 1.5365 | r2: 0.3925 | pearson_r: 0.7182 | spearman_r: 0.7183 | ce: -0.0000 
[Epoch 148] (Overall) rmse: 2.1509 | mae: 1.5574 | r2: 0.3790 | pearson_r: 0.7173 | spearman_r: 0.7173 | ce: -0.0000 
[Epoch 149] (Overall) rmse: 2.1570 | mae: 1.5513 | r2: 0.3754 | pearson_r: 0.7162 | spearman_r: 0.7163 | ce: -0.0000 
[Epoch 150] (Overall) rmse: 2.1579 | mae: 1.5604 | r2: 0.3749 | pearson_r: 0.7177 | spearman_r: 0.7175 | ce: -0.0000 
[Epoch 151] (Overall) rmse: 2.1602 | mae: 1.5658 | r2: 0.3736 | pearson_r: 0.7158 | spearman_r: 0.7146 | ce: -0.0000 
[Epoch 152] (Overall) rmse: 2.1480 | mae: 1.5491 | r2: 0.3806 | pearson_r: 0.7131 | spearman_r: 0.7135 | ce: -0.0000 
[Epoch 153] (Overall) rmse: 2.1254 | mae: 1.5376 | r2: 0.3936 | pearson_r: 0.7177 | spearman_r: 0.7174 | ce: -0.0000 
[Epoch 154] (Overall) rmse: 2.1130 | mae: 1.5315 | r2: 0.4007 | pearson_r: 0.7196 | spearman_r: 0.7186 | ce: -0.0000 
[Epoch 155] (Overall) rmse: 2.1677 | mae: 1.5635 | r2: 0.3692 | pearson_r: 0.7162 | spearman_r: 0.7160 | ce: -0.0000 
[Epoch 156] (Overall) rmse: 2.1479 | mae: 1.5507 | r2: 0.3807 | pearson_r: 0.7177 | spearman_r: 0.7176 | ce: -0.0000 
[Epoch 157] (Overall) rmse: 2.1678 | mae: 1.5586 | r2: 0.3691 | pearson_r: 0.7157 | spearman_r: 0.7146 | ce: -0.0000 
[Epoch 158] (Overall) rmse: 2.1425 | mae: 1.5509 | r2: 0.3838 | pearson_r: 0.7159 | spearman_r: 0.7154 | ce: -0.0000 
[Epoch 159] (Overall) rmse: 2.1647 | mae: 1.5591 | r2: 0.3710 | pearson_r: 0.7169 | spearman_r: 0.7164 | ce: -0.0000 
[Epoch 160] (Overall) rmse: 2.1439 | mae: 1.5485 | r2: 0.3830 | pearson_r: 0.7168 | spearman_r: 0.7167 | ce: -0.0000 
[Epoch 161] (Overall) rmse: 2.1526 | mae: 1.5504 | r2: 0.3780 | pearson_r: 0.7193 | spearman_r: 0.7194 | ce: -0.0000 
[Epoch 162] (Overall) rmse: 2.1347 | mae: 1.5397 | r2: 0.3883 | pearson_r: 0.7191 | spearman_r: 0.7196 | ce: -0.0000 
[Epoch 163] (Overall) rmse: 2.1770 | mae: 1.5653 | r2: 0.3638 | pearson_r: 0.7152 | spearman_r: 0.7144 | ce: -0.0000 
[Epoch 164] (Overall) rmse: 2.1746 | mae: 1.5738 | r2: 0.3652 | pearson_r: 0.7170 | spearman_r: 0.7171 | ce: -0.0000 
[Epoch 165] (Overall) rmse: 2.1594 | mae: 1.5526 | r2: 0.3740 | pearson_r: 0.7171 | spearman_r: 0.7170 | ce: -0.0000 
[Epoch 166] (Overall) rmse: 2.1410 | mae: 1.5440 | r2: 0.3847 | pearson_r: 0.7154 | spearman_r: 0.7156 | ce: -0.0000 
[Epoch 167] (Overall) rmse: 2.1655 | mae: 1.5550 | r2: 0.3705 | pearson_r: 0.7156 | spearman_r: 0.7155 | ce: -0.0000 
[Epoch 168] (Overall) rmse: 2.1511 | mae: 1.5496 | r2: 0.3788 | pearson_r: 0.7175 | spearman_r: 0.7180 | ce: -0.0000 
[Epoch 169] (Overall) rmse: 2.1478 | mae: 1.5542 | r2: 0.3807 | pearson_r: 0.7170 | spearman_r: 0.7165 | ce: -0.0000 
[Epoch 170] (Overall) rmse: 2.1611 | mae: 1.5581 | r2: 0.3731 | pearson_r: 0.7178 | spearman_r: 0.7181 | ce: -0.0000 
[Epoch 171] (Overall) rmse: 2.1355 | mae: 1.5630 | r2: 0.3878 | pearson_r: 0.7180 | spearman_r: 0.7180 | ce: -0.0000 
[Epoch 172] (Overall) rmse: 2.1520 | mae: 1.5506 | r2: 0.3784 | pearson_r: 0.7191 | spearman_r: 0.7194 | ce: -0.0000 
[Epoch 173] (Overall) rmse: 2.1350 | mae: 1.5407 | r2: 0.3881 | pearson_r: 0.7199 | spearman_r: 0.7200 | ce: -0.0000 
